year,latitude,longitude,depth,mag,gap,dmin,rms,horizontalError,depthError,magError,magNst,depth_class
2024,2.3199,126.9463,35.0,4.7,111,1.594,0.61,9.06,1.902,0.092,36,0
2024,2.3458,128.6532,52.802,4.7,91,2.024,0.53,5.5,5.086,0.057,94,0
2022,2.4181,96.1621,10.0,4.7,184,1.794,0.65,5.5,1.9,0.106,27,0
2022,2.4234,128.5183,57.04,4.7,112,2.004,0.84,6.9,6.4,0.07,61,0
2022,2.4275,126.2063,76.7,4.7,73,2.012,0.81,6.9,7.3,0.08,47,1
2024,2.4509,95.8246,10.0,4.7,145,2.088,0.84,7.33,1.857,0.099,31,0
2024,2.4604,126.7767,44.161,4.7,82,1.778,0.9,6.97,7.416,0.081,50,0
2021,2.4662,128.8715,35.0,4.7,79,2.257,0.75,5.1,1.9,0.062,80,0
2020,2.4984,128.2266,51.6,4.7,50,1.918,0.76,7.6,5.9,0.062,80,0
2020,2.5333,126.9871,35.0,4.7,76,1.79,0.64,8.5,1.9,0.065,71,0
2021,2.5465,129.0426,10.0,4.7,116,2.431,0.56,7.7,1.9,0.067,68,0
2023,2.569,126.3889,35.0,4.7,70,2.035,0.83,10.87,1.94,0.148,14,0
2023,2.5721,128.5847,232.31,4.7,79,2.163,0.42,10.81,7.09,0.084,43,1
2020,2.5767,125.8518,88.82,4.7,74,2.346,0.97,7.4,6.5,0.079,48,1
2022,1.3503,96.8708,10.0,4.7,129,0.706,0.63,5.65,1.86,0.07,62,0
2020,1.4307,98.9564,97.75,4.7,66,1.255,0.88,6.2,5.6,0.086,41,1
2024,1.4676,122.2348,37.604,4.7,90,1.495,0.97,3.43,7.161,0.08,48,0
2020,1.5181,126.5133,56.26,4.7,97,1.13,0.77,6.9,7.8,0.101,30,0
2022,1.5265,126.5478,38.75,4.7,37,1.11,0.79,7.5,5.5,0.056,95,0
2020,1.6086,126.3845,39.89,4.7,56,1.286,0.74,7.5,6.7,0.068,65,0
2021,1.6917,126.4042,46.34,4.7,94,1.327,0.75,5.7,6.5,0.08,47,0
2022,1.7941,126.3844,39.693,4.7,82,1.413,0.65,6.02,5.937,0.067,67,0
2020,1.7971,127.3745,101.73,4.7,54,1.018,1.16,8.1,5.6,0.065,71,1
2022,1.8197,127.5204,63.48,4.7,80,1.052,0.73,9.2,9.6,0.104,28,0
2024,1.8348,126.855,108.244,4.7,74,1.173,0.67,7.62,6.57,0.073,56,1
2024,1.8745,98.9652,121.898,4.7,90,0.815,0.74,6.96,5.83,0.068,65,1
2021,1.9037,98.5161,80.87,4.7,47,0.884,0.98,6.8,4.6,0.062,79,1
2023,1.9095,127.1701,116.804,4.7,101,1.147,0.75,7.2,5.628,0.053,113,1
2021,1.9401,96.6995,28.47,4.7,96,1.079,0.46,6.3,2.1,0.065,72,0
2024,1.9554,128.4441,72.942,4.7,100,3.979,0.63,8.93,7.27,0.061,82,1
2020,2.6754,128.2779,137.91,4.7,80,2.098,0.77,9.0,4.3,0.066,70,1
2023,2.729,127.0199,37.868,4.7,86,1.975,0.65,6.1,6.227,0.075,54,0
2023,2.7314,126.8195,46.251,4.7,118,2.022,0.78,8.64,3.96,0.075,54,0
2023,2.7314,127.0244,51.227,4.7,99,1.976,0.79,7.38,5.615,0.063,77,0
2023,2.7749,126.987,41.554,4.7,93,2.026,0.93,9.17,4.904,0.083,44,0
2024,2.7785,128.1817,164.01,4.7,114,2.153,0.7,9.2,7.385,0.064,74,1
2023,2.7842,127.0146,52.582,4.7,115,2.03,0.83,8.88,5.883,0.093,35,0
2023,2.8096,127.1677,21.798,4.7,79,2.034,0.43,5.04,5.39,0.071,63,0
2023,2.8282,126.942,35.0,4.7,102,2.086,0.58,8.47,1.906,0.195,8,0
2023,2.8339,127.0001,46.297,4.7,109,2.081,0.74,8.07,7.587,0.102,29,0
2021,2.8435,127.2407,69.13,4.7,105,2.061,0.56,8.9,7.2,0.064,74,0
2020,2.8439,128.1246,129.57,4.7,85,2.193,0.67,7.4,7.6,0.066,69,1
2020,2.861,127.1274,35.0,4.7,114,2.088,1.17,11.1,2.0,0.117,22,0
2023,2.8896,126.9662,47.576,4.7,109,2.141,0.75,8.02,7.103,0.068,65,0
2023,2.9047,126.9938,49.175,4.7,126,2.151,0.72,13.31,7.745,0.11,25,0
2023,3.0079,127.0761,53.381,4.7,107,2.24,0.43,8.58,7.076,0.066,70,0
2023,3.0151,127.0689,35.0,4.7,84,2.248,0.58,8.1,1.845,0.069,63,0
2023,3.0504,126.9979,38.508,4.7,111,2.293,0.59,8.59,7.352,0.104,28,0
2022,3.08,127.1646,36.017,4.7,82,2.302,1.03,8.17,6.815,0.07,61,0
2022,3.1415,126.3533,60.893,4.7,107,2.563,0.56,8.33,5.203,0.083,44,0
2023,5.5742,125.1139,88.745,4.7,70,1.556,0.79,9.09,7.434,0.077,51,1
2023,5.6574,126.5287,78.2,4.7,75,1.691,0.59,7.28,5.185,0.075,55,1
2024,5.6967,125.0407,80.511,4.7,102,1.465,0.75,8.63,7.764,0.068,66,1
2023,5.7164,124.5005,62.174,4.7,76,1.719,0.73,3.41,6.943,0.061,87,0
2024,5.7495,126.1932,114.378,4.7,83,1.446,0.72,8.75,5.824,0.072,59,1
2020,5.8823,125.9211,161.43,4.7,94,1.227,1.16,8.7,5.8,0.087,40,1
2023,5.9215,125.7693,120.468,4.7,38,1.156,0.82,7.42,4.949,0.042,181,1
2024,5.9286,125.6375,188.887,4.7,74,1.135,0.84,8.22,4.45,0.051,115,1
2021,5.9946,126.4301,99.96,4.7,73,1.362,0.53,9.8,6.7,0.13,18,1
2021,3.1596,126.8808,39.56,4.7,83,2.421,0.58,7.2,7.0,0.067,67,0
2022,3.1621,127.1927,46.1,4.7,80,2.38,0.63,7.5,6.7,0.061,81,0
2021,3.1965,126.6683,54.64,4.7,80,2.507,0.53,8.5,6.6,0.058,90,0
2021,3.2509,127.9314,66.61,4.7,57,1.41,0.81,6.3,6.8,0.064,73,0
2024,3.2544,123.1875,480.874,4.7,78,3.211,0.68,10.76,8.158,0.056,97,2
2021,3.3164,124.1444,380.31,4.7,62,3.992,0.8,7.6,5.4,0.052,110,2
2023,3.3254,128.1163,10.0,4.7,81,2.645,0.84,6.05,1.909,0.13,18,0
2023,3.3941,127.9104,102.912,4.7,58,4.327,0.75,7.73,6.494,0.046,140,1
2022,3.5144,125.9949,84.903,4.7,107,3.05,0.48,9.13,7.734,0.068,66,1
2020,3.5477,126.7507,45.51,4.7,91,2.825,0.79,8.2,6.9,0.08,47,0
2023,3.5634,128.6073,10.0,4.7,114,3.037,0.55,9.09,1.888,0.085,46,0
2020,3.5867,125.6522,62.47,4.7,73,3.279,0.88,8.6,8.0,0.054,104,0
2024,3.6069,126.7249,52.739,4.7,66,2.888,0.36,5.75,7.478,0.095,34,0
2021,3.6435,126.5577,46.08,4.7,45,2.964,0.7,7.5,6.3,0.072,58,0
2022,3.7084,126.7462,35.0,4.7,103,2.982,0.65,6.3,1.4,0.07,61,0
2022,3.7223,128.1473,149.94,4.7,105,3.032,0.57,7.4,6.2,0.068,65,1
2022,3.7425,97.7725,10.0,4.7,126,1.69,0.81,6.02,1.906,0.276,6,0
2021,3.7563,128.7363,10.0,4.7,107,3.265,0.48,4.1,1.9,0.06,86,0
2020,3.7874,96.1114,52.45,4.7,38,1.656,0.68,8.3,5.5,0.068,72,0
2024,3.8052,127.9545,148.248,4.7,76,3.07,0.9,8.62,7.607,0.076,53,1
2021,3.9382,125.8462,139.88,4.7,72,3.122,0.79,8.3,6.8,0.061,81,1
2024,3.9569,95.8972,58.424,4.7,64,1.641,0.9,7.86,6.741,0.079,50,0
2021,3.9662,126.5332,36.06,4.7,119,3.28,0.69,11.6,6.6,0.152,13,0
2021,3.9761,125.8465,154.42,4.7,43,3.084,1.01,7.6,6.5,0.052,111,1
2023,3.9801,128.6382,10.0,4.7,114,3.431,0.72,10.04,1.882,0.073,56,0
2023,4.0237,126.6495,47.429,4.7,112,3.208,0.52,7.55,6.678,0.096,34,0
2024,4.0394,126.0238,135.986,4.7,73,3.043,0.83,7.35,5.326,0.047,142,1
2023,4.0482,125.7234,124.686,4.7,72,3.005,0.9,10.01,4.356,0.066,70,1
2021,4.1327,126.5027,39.89,4.7,112,3.059,0.82,8.5,8.5,0.097,32,0
2023,4.1732,95.8678,64.465,4.7,88,1.502,0.54,7.23,5.994,0.074,55,0
2022,4.3848,126.3899,66.457,4.7,49,2.787,0.66,7.53,5.906,0.072,61,0
2020,4.5136,96.6797,154.36,4.7,141,0.758,0.79,8.7,6.8,0.08,47,1
2023,4.5905,126.5997,122.456,4.7,107,2.664,0.54,9.13,8.602,0.096,33,1
2021,4.6105,126.7835,54.08,4.7,59,2.721,0.56,7.9,7.2,0.075,53,0
2020,4.6593,125.3566,25.59,4.7,106,2.404,1.31,2.8,6.3,0.078,50,0
2021,4.6616,125.7506,131.68,4.7,112,2.398,1.0,8.3,7.7,0.064,73,1
2021,4.8125,127.088,39.86,4.7,114,2.698,0.73,7.0,6.9,0.079,49,0
2024,4.8187,95.855,105.522,4.7,65,1.162,0.54,8.19,5.654,0.055,100,1
2021,4.8303,127.184,117.63,4.7,128,4.035,0.54,12.7,7.9,0.183,14,1
2024,4.8573,126.0864,96.521,4.7,72,2.255,1.13,8.1,5.534,0.048,132,1
2024,4.8966,126.1748,98.963,4.7,96,2.239,0.61,7.58,5.936,0.063,76,1
2024,4.9072,127.3776,125.895,4.7,108,2.795,0.41,9.53,6.151,0.06,85,1
2021,4.9239,127.5029,126.65,4.7,49,2.864,0.6,4.7,5.9,0.051,119,1
2023,4.924,125.6615,109.192,4.7,51,2.133,0.92,7.87,6.029,0.064,75,1
2024,4.9515,126.7812,67.573,4.7,83,2.42,0.65,8.1,7.218,0.055,105,0
2022,4.984,127.4734,128.003,4.7,111,2.8,0.34,8.41,7.11,0.047,136,1
2021,5.014,127.5214,117.45,4.7,79,2.811,0.65,7.8,6.6,0.052,96,1
2024,5.1726,125.9703,111.162,4.7,91,1.924,0.98,6.62,6.652,0.063,76,1
2021,5.1995,125.4057,188.59,4.7,90,1.865,1.01,8.5,8.0,0.108,26,1
2021,5.2457,124.8092,18.01,4.7,79,1.967,0.9,6.9,4.7,0.065,72,0
2022,5.2885,95.5874,117.11,4.7,158,1.355,0.8,9.4,7.5,0.11,25,1
2023,5.297,127.8771,10.0,4.7,97,2.885,0.5,8.59,1.838,0.054,106,0
2020,5.326,125.4895,178.41,4.7,131,1.734,1.1,9.6,7.2,0.104,28,1
2020,5.3365,126.2525,10.0,4.7,138,1.847,1.31,13.8,1.9,0.121,21,0
2020,5.4425,126.5413,10.0,4.7,114,1.878,1.22,7.9,1.9,0.129,18,0
2020,5.5142,126.4618,10.0,4.7,114,1.777,1.15,7.4,1.8,0.073,57,0
2023,4.3786,96.2924,10.0,4.6,86,1.067,0.81,5.72,1.873,0.11,25,0
2020,4.389,127.3102,10.0,4.6,55,3.171,0.53,6.7,1.8,0.063,74,0
2024,4.4196,126.8765,55.843,4.6,81,2.932,0.54,7.06,6.563,0.059,85,0
2024,4.4509,96.4009,10.0,4.6,65,0.945,1.05,6.35,1.867,0.084,42,0
2023,4.5264,95.1193,68.432,4.6,138,1.95,0.44,4.69,8.155,0.103,28,0
2020,4.5266,125.7779,163.75,4.6,45,2.534,0.89,7.7,4.2,0.072,58,1
2021,4.5616,96.2559,10.0,4.6,123,3.244,0.6,8.2,1.9,0.107,29,0
2020,4.5845,125.8235,171.6,4.6,116,2.48,0.5,8.8,7.5,0.116,22,1
2024,4.631,127.7829,133.592,4.6,72,3.267,0.69,8.23,5.752,0.045,153,1
2024,4.6729,127.508,111.067,4.6,106,3.058,0.58,8.52,5.811,0.067,67,1
2021,4.7201,95.0921,47.19,4.6,183,4.32,0.47,12.4,9.9,0.152,13,0
2021,4.7623,126.7112,39.17,4.6,109,4.017,0.59,8.9,7.8,0.088,38,0
2024,4.8018,96.0583,10.0,4.6,91,0.982,0.89,6.08,1.885,0.141,15,0
2022,4.8039,124.1536,9.717,4.6,104,2.66,0.59,10.04,3.499,0.111,24,0
2023,4.809,125.4626,10.0,4.6,87,2.249,0.5,7.04,1.901,0.071,59,0
2023,4.8221,123.6907,505.318,4.6,81,2.918,0.53,10.71,7.463,0.068,65,2
2022,4.8884,126.4244,96.632,4.6,104,2.324,0.69,7.47,6.508,0.08,49,1
2023,4.9181,126.4698,75.656,4.6,44,2.314,0.82,7.16,6.706,0.069,70,1
2020,4.9199,126.8193,88.11,4.6,77,2.466,0.73,8.2,7.6,0.089,37,1
2022,4.9714,127.2228,114.6,4.6,108,2.649,0.5,8.1,6.1,0.064,73,1
2021,4.9726,127.5311,111.12,4.6,74,2.847,0.52,6.3,5.5,0.052,114,1
2021,4.9874,127.5422,111.84,4.6,116,2.844,1.01,6.3,6.1,0.075,52,1
2021,4.9923,127.4054,100.34,4.6,108,2.749,0.78,8.0,4.8,0.06,92,1
2020,5.0124,125.3914,184.95,4.6,42,2.052,1.24,6.9,5.7,0.041,175,1
2021,5.0525,126.0801,88.83,4.6,104,2.065,1.11,8.4,1.4,0.117,24,1
2020,5.1231,125.2581,54.13,4.6,108,1.96,0.45,5.3,9.1,0.133,17,0
2021,5.2029,125.3122,56.96,4.6,55,1.873,0.59,7.8,7.9,0.14,21,0
2024,5.2032,126.1199,10.0,4.6,135,1.931,0.68,13.29,1.898,0.165,12,0
2020,5.3096,126.5474,35.0,4.6,154,1.996,0.89,6.0,2.0,0.146,14,0
2024,5.3214,125.3615,191.376,4.6,65,1.75,0.93,8.02,6.083,0.076,51,1
2020,5.3393,126.6105,48.81,4.6,133,2.001,0.84,6.6,7.6,0.103,28,0
2021,5.3631,126.2808,41.93,4.6,116,1.833,1.04,8.8,7.6,0.107,27,0
2021,5.3798,126.1447,87.84,4.6,79,1.77,0.58,8.6,8.1,0.095,33,1
2022,5.4117,126.0284,138.12,4.6,84,1.706,0.82,8.0,5.2,0.053,104,1
2024,5.4185,126.4129,10.542,4.6,114,7.064,0.78,4.61,4.525,0.114,25,0
2020,5.4215,126.6995,50.54,4.6,107,1.98,1.01,7.5,5.5,0.064,73,0
2022,5.4352,126.4183,40.243,4.6,67,1.826,0.92,7.79,4.556,0.068,65,0
2023,5.4391,126.9515,11.668,4.6,91,2.118,0.73,7.79,4.192,0.093,37,0
2020,5.4464,126.3644,10.0,4.6,114,1.791,0.84,7.3,1.7,0.087,39,0
2023,5.4659,126.1501,156.259,4.6,58,1.691,0.95,8.53,6.075,0.062,78,1
2024,5.5013,125.1256,80.959,4.6,66,1.622,0.59,5.64,5.82,0.081,52,1
2024,5.5052,126.9072,85.727,4.6,109,2.039,0.6,8.54,4.519,0.069,64,1
2021,5.526,126.5816,41.28,4.6,111,1.828,0.89,8.1,7.6,0.086,40,0
2021,5.5296,126.8831,10.0,4.6,178,2.005,0.89,9.0,1.9,0.125,19,0
2022,2.6481,128.9301,10.0,4.6,121,2.432,0.6,6.7,1.9,0.244,5,0
2024,2.6875,127.3579,63.918,4.6,70,1.903,1.13,6.53,6.757,0.085,41,0
2023,2.6911,126.8984,46.469,4.6,110,1.963,0.52,8.04,8.302,0.086,40,0
2022,2.6937,95.6204,24.75,4.6,188,2.392,0.53,9.26,6.293,0.141,15,0
2020,2.7045,128.4968,227.34,4.6,42,2.227,0.57,8.9,6.0,0.075,55,1
2023,2.71,126.666,35.0,4.6,118,2.049,0.58,7.46,1.873,0.151,13,0
2023,2.7108,126.9027,50.398,4.6,118,1.981,0.58,6.53,6.642,0.098,31,0
2023,2.7226,126.9833,46.534,4.6,103,1.975,0.71,7.29,6.9,0.066,69,0
2024,2.7227,95.6187,10.0,4.6,155,2.41,0.82,8.3,1.873,0.099,30,0
2023,2.7247,128.541,235.257,4.6,58,2.267,0.6,7.14,6.242,0.083,44,1
2022,2.7319,128.1508,73.152,4.6,115,2.099,0.67,9.18,4.702,0.116,22,1
2023,2.7358,127.0428,64.686,4.6,108,1.978,0.47,8.23,2.587,0.083,49,0
2023,2.7363,127.079,67.668,4.6,109,1.972,0.66,7.26,8.261,0.095,33,0
2023,2.7381,126.9916,45.562,4.6,108,1.989,0.47,7.99,5.542,0.074,65,0
2023,2.7438,126.9974,46.353,4.6,84,1.993,0.79,9.66,7.216,0.086,40,0
2023,2.7519,127.1388,52.985,4.6,93,1.98,0.86,4.44,6.867,0.107,27,0
2023,2.7568,127.0395,42.887,4.6,122,1.999,0.84,9.67,6.313,0.068,64,0
2022,2.7608,128.5849,201.23,4.6,88,2.32,1.08,9.5,8.0,0.091,36,1
2023,2.7706,127.186,42.651,4.6,84,1.994,0.58,7.53,6.778,0.083,43,0
2023,2.7711,127.0537,56.605,4.6,70,2.01,0.62,6.61,7.487,0.075,53,0
2023,2.7746,126.8379,35.0,4.6,124,2.058,0.41,10.52,1.918,0.117,22,0
2023,2.777,127.1631,51.722,4.6,96,2.002,0.44,9.27,7.625,0.091,36,0
2021,2.7818,95.6992,29.48,4.6,157,2.381,0.49,9.0,5.4,0.091,36,0
2021,2.7926,95.399,10.0,4.6,151,2.63,0.53,7.6,1.9,0.075,58,0
2023,2.7929,126.8576,34.247,4.6,118,2.071,0.91,12.64,5.506,0.081,45,0
2021,2.8002,128.1005,150.07,4.6,63,2.144,0.55,6.6,4.5,0.054,102,1
2023,2.8108,126.9383,43.5,4.6,85,2.07,0.82,5.53,7.368,0.09,37,0
2023,2.8152,127.0643,54.595,4.6,135,2.052,1.06,9.54,7.97,0.102,29,0
2021,2.8154,126.5768,63.88,4.6,122,2.178,0.69,10.7,8.0,0.137,16,0
2023,2.8174,127.1375,47.416,4.6,99,2.045,0.47,8.46,5.618,0.088,39,0
2023,2.8189,126.8519,35.0,4.6,117,2.097,0.52,8.69,1.879,0.097,32,0
2021,2.8304,126.4666,72.13,4.6,76,2.233,0.65,9.3,8.6,0.146,14,1
2022,2.842,126.7378,53.099,4.6,103,2.15,0.77,6.79,7.171,0.098,31,0
2023,2.846,128.5433,227.098,4.6,81,2.372,0.7,9.09,6.664,0.054,101,1
2021,2.8491,127.4723,78.13,4.6,134,2.066,0.87,8.1,7.7,0.083,44,1
2020,2.8499,96.2557,35.0,4.6,62,2.024,0.86,6.3,1.9,0.098,31,0
2023,2.8499,126.9825,51.395,4.6,116,2.1,0.71,9.02,0.796,0.122,21,0
2020,2.8652,126.5036,68.59,4.6,56,2.251,0.83,7.7,7.9,0.088,39,0
2021,2.896,126.6966,77.12,4.6,105,2.213,1.04,4.7,7.9,0.116,22,1
2021,2.903,126.6469,69.12,4.6,130,2.235,0.72,10.4,6.9,0.151,14,0
2023,2.9088,127.1235,35.0,4.6,127,2.137,0.69,10.51,1.916,0.101,29,0
2023,2.9116,126.8566,35.0,4.6,102,2.186,0.44,11.39,1.945,0.165,11,0
2022,2.9893,126.1825,55.746,4.6,123,2.501,0.49,8.6,5.574,0.136,16,0
2020,2.9935,126.4086,44.65,4.6,75,2.405,0.54,7.2,7.5,0.095,33,0
2020,3.0282,127.9944,107.85,4.6,111,2.327,0.38,10.1,9.0,0.08,46,1
2022,3.0532,128.5682,221.88,4.6,73,2.565,0.66,11.31,7.199,0.08,46,1
2021,3.0575,126.9521,35.0,4.6,143,2.307,0.56,7.8,2.0,0.145,16,0
2023,3.0841,125.7969,153.159,4.6,93,2.782,0.79,7.47,7.788,0.087,40,1
2021,3.1025,125.8242,51.81,4.6,97,2.781,0.71,7.1,5.7,0.09,42,0
2024,3.1075,128.2465,85.428,4.6,119,2.481,0.96,12.58,9.547,0.103,28,1
2020,3.1091,129.2554,10.0,4.6,80,2.992,0.49,4.4,1.9,0.077,50,0
2023,3.1142,126.819,35.0,4.6,109,2.39,0.79,9.39,1.9,0.091,36,0
2022,3.119,127.954,69.79,4.6,144,2.404,0.83,9.9,10.8,0.272,6,0
2023,1.9903,97.4814,50.637,4.6,137,0.688,0.48,6.98,3.114,0.173,10,0
2020,2.02,126.7602,53.62,4.6,88,1.38,0.9,3.4,6.0,0.067,66,0
2024,2.025,128.3971,67.32,4.6,108,1.616,0.72,9.17,7.64,0.08,46,0
2022,2.0517,99.0688,10.0,4.6,53,0.654,0.48,4.73,1.049,0.084,46,0
2022,2.0646,126.9352,31.93,4.6,132,1.354,0.61,6.6,5.8,0.125,19,0
2022,2.0779,98.9937,12.802,4.6,103,0.616,1.09,3.3,4.768,0.223,6,0
2020,2.0817,127.162,47.52,4.6,101,1.317,0.63,4.6,7.1,0.079,48,0
2023,2.1185,127.8186,228.275,4.6,58,1.412,0.73,7.18,5.511,0.06,83,1
2023,2.1477,122.6855,10.0,4.6,83,2.164,0.92,7.21,1.86,0.098,36,0
2022,2.1785,128.9953,10.0,4.6,119,2.145,0.55,5.62,1.902,0.165,12,0
2022,2.1947,126.6327,59.72,4.6,95,1.592,0.7,9.5,10.8,0.141,15,0
2022,2.197,128.3245,66.88,4.6,56,1.709,0.97,3.8,8.5,0.107,28,0
2022,2.2023,129.1942,10.019,4.6,102,2.314,0.45,7.72,3.68,0.116,22,0
2022,2.2103,129.2958,8.91,4.6,112,2.4,0.6,8.66,4.46,0.102,33,0
2021,2.2367,128.5754,230.7,4.6,115,1.891,0.58,9.2,6.7,0.107,26,1
2020,2.2436,95.0397,10.0,4.6,222,2.701,0.92,12.0,1.9,0.207,7,0
2024,2.2452,126.6421,43.564,4.6,95,1.633,1.18,7.33,4.115,0.074,54,0
2022,2.2873,96.376,34.92,4.6,177,1.546,0.37,5.6,5.3,0.078,51,0
2022,2.2893,129.1298,10.0,4.6,115,2.319,0.63,7.27,1.881,0.095,35,0
2021,2.2912,97.7959,56.6,4.6,53,1.005,0.67,5.1,7.8,0.083,43,0
2024,2.3003,128.6869,32.542,4.6,85,4.069,0.75,8.07,1.676,0.077,50,0
2024,2.3086,126.8276,37.124,4.6,104,1.619,0.62,8.38,7.429,0.085,43,0
2021,2.3222,127.7186,119.57,4.6,67,1.579,0.61,7.6,2.9,0.091,36,1
2023,2.3449,128.7933,35.0,4.6,89,2.115,0.65,9.33,1.877,0.06,92,0
2024,2.3956,128.3891,49.052,4.6,111,1.909,0.62,9.18,7.639,0.082,44,0
2024,2.4142,128.5134,230.569,4.6,58,1.994,0.76,6.9,4.369,0.067,71,1
2021,2.4274,128.9241,35.0,4.6,117,2.264,0.79,7.2,2.0,0.075,54,0
2020,2.4407,126.8444,10.0,4.6,30,1.738,0.58,7.8,1.8,0.073,59,0
2023,2.4517,128.2614,74.41,4.6,107,1.893,0.39,8.5,8.0,0.076,52,1
2020,2.455,128.7542,44.45,4.6,117,2.172,0.77,8.9,6.1,0.09,37,0
2020,2.4556,128.6479,220.79,4.6,125,2.106,1.26,10.1,7.5,0.101,29,1
2022,2.4926,128.2388,153.973,4.6,104,1.919,0.6,7.43,4.785,0.068,64,1
2022,2.5112,127.8156,86.534,4.6,112,1.785,0.75,6.69,7.25,0.08,50,1
2023,2.5213,126.4108,35.0,4.6,110,1.983,0.58,8.14,1.908,0.128,18,0
2020,2.5218,128.8493,35.0,4.6,79,2.284,0.89,7.9,2.0,0.088,45,0
2021,2.5363,128.9963,35.0,4.6,92,2.392,0.51,9.1,2.0,0.136,18,0
2024,2.5454,127.049,62.056,4.6,118,1.79,0.71,7.46,7.01,0.099,30,0
2022,2.5639,127.2297,69.06,4.6,50,1.785,0.46,4.4,7.7,0.114,25,0
2022,2.5709,128.278,162.57,4.6,93,2.005,0.43,8.4,5.7,0.048,127,1
2024,2.5846,95.8545,10.0,4.6,179,2.139,1.08,8.35,1.917,0.105,27,0
2021,2.593,126.748,20.96,4.6,97,1.911,0.73,7.7,5.4,0.103,30,0
2023,2.6182,126.1509,55.789,4.6,82,2.2,0.51,7.44,2.52,0.071,60,0
2020,1.3023,128.0489,126.81,4.6,101,0.861,0.73,9.4,6.2,0.078,49,1
2022,1.3101,127.6901,135.11,4.6,118,6.198,0.43,13.7,8.3,0.146,14,1
2023,1.3184,97.0931,31.95,4.6,60,0.483,0.62,6.08,4.914,0.085,46,0
2022,1.3193,126.9273,95.695,4.6,117,0.699,0.45,9.42,5.667,0.193,8,1
2024,1.3302,128.0641,109.165,4.6,101,0.891,0.74,9.82,1.384,0.076,52,1
2022,1.3636,126.256,40.741,4.6,89,1.256,0.74,9.79,7.53,0.086,41,0
2020,1.3829,126.4415,46.36,4.6,89,1.106,0.74,7.5,6.7,0.076,51,0
2023,1.3856,125.7397,10.0,4.6,76,1.737,1.3,8.87,1.908,0.126,22,0
2022,1.3856,126.9357,128.11,4.6,84,0.746,0.48,9.1,6.6,0.092,35,1
2023,1.3991,125.4671,10.0,4.6,89,1.999,0.76,4.56,1.78,0.109,30,0
2020,1.4023,126.4522,53.5,4.6,90,1.108,0.65,7.3,7.4,0.092,35,0
2024,1.4406,126.8457,115.787,4.6,89,0.844,0.53,9.03,7.084,0.101,29,1
2022,1.4451,127.267,150.18,4.6,69,0.676,0.7,7.4,4.6,0.061,79,1
2024,1.4565,126.9241,115.254,4.6,64,0.811,0.84,6.31,4.797,0.092,35,1
2024,1.4602,127.158,122.399,4.6,85,4.714,0.66,8.18,6.364,0.053,125,1
2022,1.4789,123.0663,10.0,4.6,54,2.313,0.92,5.3,1.9,0.133,17,0
2022,1.4936,98.9049,111.125,4.6,60,1.192,0.55,5.37,3.995,0.072,57,1
2024,1.4964,126.543,51.647,4.6,99,1.094,1.01,8.01,7.627,0.1,30,0
2020,1.5005,127.1348,134.65,4.6,66,0.76,0.76,8.1,5.4,0.087,40,1
2023,1.511,126.3738,55.646,4.6,62,1.235,0.83,8.62,3.922,0.087,39,0
2020,1.5117,126.6418,43.54,4.6,107,1.032,1.38,8.2,7.7,0.107,26,0
2023,1.5451,125.412,10.0,4.6,57,2.1,0.56,6.17,1.745,0.109,25,0
2024,1.5608,126.3822,43.096,4.6,81,1.258,0.58,7.63,6.562,0.074,54,0
2024,1.5765,128.6075,10.0,4.6,111,1.476,0.92,6.18,1.902,0.128,18,0
2021,1.5963,126.5888,70.26,4.6,109,1.129,0.85,8.5,7.4,0.107,26,1
2021,1.6045,127.273,120.31,4.6,78,0.832,0.66,6.8,6.2,0.085,41,1
2021,1.6049,128.3378,76.06,4.6,82,1.275,0.4,7.3,8.0,0.181,9,1
2024,1.6071,126.3817,60.52,4.6,79,1.288,0.63,8.21,7.293,0.071,59,0
2020,1.623,126.548,35.0,4.6,106,1.176,0.56,6.1,2.0,0.098,31,0
2022,1.6584,126.5086,35.924,4.6,36,1.229,0.79,6.78,6.022,0.069,70,0
2024,1.694,97.0405,31.015,4.6,170,0.66,0.59,4.61,5.46,0.086,40,0
2021,1.7086,127.404,117.69,4.6,79,0.931,0.61,10.7,8.5,0.141,15,1
2022,1.7204,99.5287,173.51,4.6,54,1.14,0.66,5.0,5.1,0.082,44,1
2022,1.7313,126.2283,13.261,4.6,77,1.484,0.5,10.26,5.239,0.122,22,0
2023,1.7638,128.8495,10.0,4.6,108,1.78,0.42,7.31,1.604,0.109,25,0
2021,1.7776,127.1812,56.13,4.6,124,1.016,0.6,9.5,8.4,0.114,23,0
2023,1.7877,126.2915,38.467,4.6,105,1.474,0.87,4.35,6.458,0.064,73,0
2020,1.8087,127.4596,136.84,4.6,42,1.034,0.57,6.5,4.3,0.079,47,1
2020,1.9008,128.4573,53.05,4.6,107,1.564,0.69,7.5,8.8,0.164,11,0
2020,1.9334,127.3663,110.56,4.6,91,1.153,1.04,4.8,6.0,0.066,73,1
2023,1.9536,126.7368,49.813,4.6,87,1.332,0.55,9.23,2.223,0.098,31,0
2024,1.9692,121.9592,10.0,4.6,104,1.453,0.64,9.09,1.9,0.105,27,0
2022,1.97,126.8761,42.2,4.6,94,1.287,0.7,9.4,7.0,0.083,43,0
2022,1.9809,126.5514,56.678,4.6,74,1.451,0.91,6.58,6.843,0.07,68,0
