year,latitude,longitude,depth,mag,gap,dmin,rms,horizontalError,depthError,magError,magNst,depth_class
2024,5.8168,126.9407,115.0,6.0,52,1.838,0.59,8.01,1.894,0.033,88,1
2023,1.1246,127.4888,151.0,6.0,22,0.371,0.89,7.81,1.893,0.045,47,1
2024,-0.0469,122.8918,143.0,6.0,21,0.996,1.01,6.36,1.785,0.037,72,1
2021,-0.0451,124.2812,34.0,6.0,20,1.805,1.11,3.1,1.8,0.06,27,0
2023,-0.0116,123.1998,154.0,6.0,19,1.109,0.93,6.68,1.815,0.049,40,1
2023,0.0018,119.7663,13.0,6.0,47,1.498,0.99,4.1,1.772,0.068,21,0
2020,0.0368,123.7866,109.0,6.0,22,1.475,0.9,5.7,1.9,0.049,40,1
2021,0.2081,96.709,8.0,6.0,17,1.391,1.0,7.2,1.7,0.047,44,0
2022,-4.8065,125.0808,544.0,6.0,10,4.393,0.99,7.5,1.9,0.048,42,2
2021,-4.499,133.958,10.0,6.0,33,2.317,0.41,6.3,1.8,0.093,11,0
2021,-4.3244,134.1805,10.0,6.0,22,2.38,0.85,6.1,1.7,0.049,40,0
2020,-2.8405,139.3363,44.0,6.0,36,7.079,1.02,4.1,1.9,0.053,34,0
2020,-2.6706,99.3227,19.0,6.0,23,3.436,0.58,7.2,1.7,0.051,37,0
2022,-1.149,98.654,20.0,6.0,18,2.664,0.61,6.9,1.696,0.05,39,0
2023,-5.5578,129.9456,203.0,5.9,21,3.485,0.56,7.59,1.88,0.052,36,1
2021,-5.1251,128.1558,326.0,5.9,10,4.22,0.91,6.4,1.8,0.039,62,2
2020,-4.8713,129.7548,172.0,5.9,13,3.154,0.78,5.3,1.8,0.098,10,1
2022,-2.2644,138.1792,30.0,5.9,21,5.96,0.71,6.98,1.709,0.063,24,0
2020,-1.7144,120.1775,10.0,5.9,36,2.678,1.19,6.0,1.8,0.047,43,0
2024,-1.6951,134.4237,6.66,5.9,22,2.49,0.48,5.49,2.809,0.055,32,0
